timestamp,spot_price,entry_tf_bias,original_score,penalised_score,entry_tf_score,htf_bias,htf_vwap,vix_value,market_regime,outcome
2026-07-14 11:27:47,24133.85,CALL,35,20,20,PUT,24157.57,13.45,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:28:49,24140.75,CALL,35,20,20,PUT,24157.57,13.44,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:29:49,24144.85,CALL,35,20,20,PUT,24157.57,13.44,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:30:49,24138.1,CALL,35,20,20,PUT,24157.56,13.45,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:31:49,24134.3,CALL,35,20,20,PUT,24157.56,13.45,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:32:50,24133.65,CALL,55,40,40,PUT,24157.56,13.46,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:33:50,24133.35,CALL,55,40,40,PUT,24157.53,13.46,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:34:50,24130.45,CALL,55,40,40,PUT,24157.53,13.48,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:35:50,24131.1,CALL,55,40,40,PUT,24157.53,13.48,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:36:51,24124.5,CALL,55,40,40,PUT,24157.48,13.48,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:37:51,24116.9,CALL,55,40,40,PUT,24157.48,13.47,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:38:52,24114.35,CALL,55,40,40,PUT,24157.48,13.45,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:39:52,24115.3,CALL,55,40,40,PUT,24157.37,13.44,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:40:52,24119.2,CALL,55,40,40,PUT,24157.37,13.44,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:41:53,24105.7,CALL,55,40,40,PUT,24157.37,13.43,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:42:53,24107.15,CALL,55,40,40,PUT,24157.27,13.45,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:43:53,24104.1,CALL,55,40,40,PUT,24157.27,13.45,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:44:53,24104.05,CALL,55,40,40,PUT,24157.27,13.47,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:45:53,24104.75,CALL,35,20,20,PUT,24157.21,13.46,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:46:54,24109.5,CALL,35,20,20,PUT,24157.21,13.45,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:47:54,24109.4,CALL,55,40,40,PUT,24157.21,13.45,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:48:54,24112.55,CALL,60,45,45,PUT,24157.09,13.46,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:49:54,24109.55,CALL,60,45,45,PUT,24157.09,13.44,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:50:55,24115.3,CALL,55,40,40,PUT,24157.09,13.45,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:51:55,24123.75,CALL,55,40,40,PUT,24156.95,13.46,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:52:55,24124,CALL,60,45,45,PUT,24156.95,13.47,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:53:55,24115,CALL,60,45,45,PUT,24156.95,13.48,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:54:55,24109.85,CALL,60,45,45,PUT,24156.84,13.46,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:55:56,24104.65,CALL,55,40,40,PUT,24156.84,13.49,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 11:56:56,24098.1,CALL,55,40,40,PUT,24156.84,13.49,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 12:01:57,24107.15,CALL,55,40,40,PUT,24156.53,13.49,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 12:02:58,24114.65,CALL,55,40,40,PUT,24156.53,13.46,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 12:03:58,24109.85,CALL,55,40,40,PUT,24156.59,13.51,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 12:04:58,24106.85,CALL,55,40,40,PUT,24156.59,13.52,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 12:05:58,24104.35,CALL,55,40,40,PUT,24156.59,13.53,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 12:06:59,24097.9,CALL,55,40,40,PUT,24156.47,13.53,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-14 12:41:10,24073.05,CALL,35,20,20,PUT,24155.7,13.63,LOW_VOLATILITY,STILL_REJECTED
2026-07-14 12:51:14,24085.5,CALL,35,20,20,PUT,24155.54,13.6,LOW_VOLATILITY,STILL_REJECTED
2026-07-14 12:56:16,24086.85,CALL,35,20,20,PUT,24155.21,13.59,LOW_VOLATILITY,STILL_REJECTED
2026-07-14 13:06:21,24089.95,CALL,35,20,20,PUT,24154.54,13.57,LOW_VOLATILITY,STILL_REJECTED
2026-07-14 13:11:25,24085.3,CALL,35,20,20,PUT,24154.42,13.61,LOW_VOLATILITY,STILL_REJECTED
2026-07-14 13:20:30,24094.2,CALL,35,20,20,PUT,24163.59,13.59,LOW_VOLATILITY,STILL_REJECTED
2026-07-15 11:51:36,24167.65,PUT,25,10,10,CALL,24139.22,13.11,LOW_VOLATILITY_BEARISH,STILL_REJECTED
2026-07-15 11:52:36,24171.3,PUT,45,30,30,CALL,24139.22,13.11,LOW_VOLATILITY_BEARISH,STILL_REJECTED
2026-07-15 12:29:44,24170.6,PUT,45,30,30,CALL,24138.07,13.1,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-15 12:29:45,24170.75,PUT,45,30,30,CALL,24138.07,13.09,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-15 12:29:46,24170.7,PUT,45,30,30,CALL,24138.07,13.09,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-15 12:29:48,24169.9,PUT,45,30,30,CALL,24138.07,13.09,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-15 12:29:49,24169.5,PUT,45,30,30,CALL,24138.07,13.09,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-15 12:29:50,24169.65,PUT,45,30,30,CALL,24138.07,13.09,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-15 12:29:51,24170.4,PUT,45,30,30,CALL,24138.07,13.09,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-15 12:29:52,24170.95,PUT,45,30,30,CALL,24138.07,13.09,LOW_VOLATILITY_BULLISH,STILL_REJECTED
2026-07-15 12:29:53,24171.1,PUT,45,30,30,CALL,24138.07,13.09,LOW_VOLATILITY_BULLISH,STILL_REJECTED
