timestamp,spot_price,entry_tf_bias,entry_tf_score,htf_bias,htf_vwap,vix_value,market_regime,outcome
2026-07-24 11:34:28,23654.2,PUT,5,CALL,23678.74,14.46,LOW_VOLATILITY_BEARISH,HARD_REJECTED
2026-07-24 11:35:29,23654.7,PUT,5,CALL,23678.74,14.45,LOW_VOLATILITY_BEARISH,HARD_REJECTED
2026-07-24 11:36:30,23659.8,PUT,5,CALL,23678.74,14.45,LOW_VOLATILITY_BEARISH,HARD_REJECTED
2026-07-24 11:37:30,23657.1,PUT,5,CALL,23678.75,14.43,LOW_VOLATILITY_BEARISH,HARD_REJECTED
2026-07-24 11:38:30,23661.8,PUT,5,CALL,23678.75,14.41,LOW_VOLATILITY_BEARISH,HARD_REJECTED
2026-07-24 11:39:30,23663.3,PUT,25,CALL,23678.75,14.4,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-07-27 09:54:59,23933.4,CALL,55,PUT,23948.7,13.11,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-07-27 10:00:01,23934.15,CALL,58,PUT,23944.33,13.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-07-27 10:00:02,23933.45,CALL,58,PUT,23944.33,13.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-07-27 10:00:04,23934.5,CALL,58,PUT,23944.33,13.26,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-07-27 10:00:05,23934.7,CALL,58,PUT,23944.33,13.25,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-07-27 10:00:06,23934.55,CALL,58,PUT,23944.33,13.26,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-07-27 10:00:07,23934.15,CALL,58,PUT,23944.33,13.27,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-07-27 10:00:08,23934.15,CALL,58,PUT,23944.33,13.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
