timestamp,total_score,base_score,bonus,interaction_bonus,bias,spot_ltp,market_regime,dte,reason
2026-08-06 11:20:56,48,40,0,8,CALL,24666.6,LOW_VOLATILITY,5,Rejected
2026-08-07 14:14:49,43,20,0,8,PUT,24528.5,LOW_VOLATILITY,4,Rejected
2026-08-31 10:16:41,25,25,0,0,NEUTRAL,24017.3,LOW_VOLATILITY,1,Rejected
2026-08-31 10:17:43,25,25,0,0,NEUTRAL,24016.9,LOW_VOLATILITY,1,Rejected
2026-08-31 10:18:43,25,25,0,0,NEUTRAL,24014.85,LOW_VOLATILITY,1,Rejected
2026-08-31 10:19:43,25,25,0,0,NEUTRAL,24011.75,LOW_VOLATILITY,1,Rejected
2026-08-31 10:20:43,25,25,0,0,NEUTRAL,24009.35,LOW_VOLATILITY,1,Rejected
2026-08-31 10:21:43,35,40,0,0,PUT,24010.95,LOW_VOLATILITY,1,Rejected
2026-08-31 10:22:44,45,50,0,0,PUT,24013.45,LOW_VOLATILITY,1,Rejected
2026-08-31 10:23:44,45,50,0,0,PUT,24010.6,LOW_VOLATILITY,1,Rejected
2026-08-31 10:24:45,35,40,0,0,PUT,24007.7,LOW_VOLATILITY,1,Rejected
2026-08-31 10:25:45,35,40,0,0,PUT,24008.95,LOW_VOLATILITY,1,Rejected
2026-08-31 10:26:45,50,50,0,0,PUT,24021.3,LOW_VOLATILITY,1,Rejected
2026-08-31 10:27:45,50,50,0,0,PUT,24023.05,LOW_VOLATILITY,1,Rejected
2026-08-31 10:28:46,50,50,0,0,CALL,24032.7,LOW_VOLATILITY,1,Rejected
2026-08-31 10:29:46,50,50,0,0,CALL,24028.1,LOW_VOLATILITY,1,Rejected
2026-08-31 10:30:46,40,40,0,0,CALL,24029,LOW_VOLATILITY,1,Rejected
2026-08-31 10:31:46,40,40,0,0,CALL,24026.3,LOW_VOLATILITY,1,Rejected
2026-08-31 10:32:46,40,40,0,0,PUT,24023.6,LOW_VOLATILITY,1,Rejected
2026-08-31 10:33:47,35,40,0,0,PUT,24014.1,LOW_VOLATILITY,1,Rejected
2026-08-31 10:34:47,35,40,0,0,PUT,24009.25,LOW_VOLATILITY,1,Rejected
2026-08-31 10:35:47,35,40,0,0,PUT,24009.95,LOW_VOLATILITY,1,Rejected
2026-08-31 10:36:47,35,40,0,0,PUT,24007.35,LOW_VOLATILITY,1,Rejected
2026-08-31 10:37:47,50,40,0,0,PUT,24000.7,LOW_VOLATILITY,1,Rejected
2026-08-31 10:38:48,55,40,0,0,PUT,23999.75,LOW_VOLATILITY,1,Rejected
2026-08-31 10:39:48,55,40,0,5,PUT,24001.35,LOW_VOLATILITY,1,Rejected
2026-08-31 10:40:48,55,40,0,0,PUT,23999.05,LOW_VOLATILITY,1,Rejected
2026-08-31 10:41:48,55,40,0,0,PUT,24000,LOW_VOLATILITY,1,Rejected
2026-08-31 10:42:48,50,40,0,0,PUT,24002.9,LOW_VOLATILITY,1,Rejected
2026-08-31 10:43:49,35,40,0,0,PUT,24009.6,LOW_VOLATILITY,1,Rejected
2026-08-31 10:44:49,45,50,0,0,PUT,24011.2,LOW_VOLATILITY,1,Rejected
2026-08-31 10:45:49,45,50,0,0,PUT,24012.3,LOW_VOLATILITY,1,Rejected
2026-08-31 10:46:49,35,40,0,0,PUT,24008.5,LOW_VOLATILITY,1,Rejected
2026-08-31 10:47:49,35,40,0,0,PUT,24005.05,LOW_VOLATILITY,1,Rejected
2026-08-31 10:48:50,35,40,0,0,PUT,24007.95,LOW_VOLATILITY,1,Rejected
2026-08-31 10:49:50,35,40,0,0,PUT,24008.75,LOW_VOLATILITY,1,Rejected
2026-08-31 10:50:50,35,40,0,0,PUT,24003.2,LOW_VOLATILITY,1,Rejected
2026-08-31 10:51:50,55,40,0,0,PUT,23998.5,LOW_VOLATILITY,1,Rejected
2026-08-31 10:52:50,60,50,0,0,PUT,24002.7,LOW_VOLATILITY,1,Accepted
2026-08-31 10:53:51,60,50,0,0,PUT,24003.9,LOW_VOLATILITY,1,Accepted
2026-08-31 10:53:52,60,50,0,0,PUT,24004.1,LOW_VOLATILITY,1,Accepted
2026-08-31 10:53:53,60,50,0,0,PUT,24004.65,LOW_VOLATILITY,1,Accepted
2026-08-31 10:53:55,60,50,0,0,PUT,24006.7,LOW_VOLATILITY,1,Accepted
2026-08-31 10:53:56,60,50,0,0,PUT,24005.55,LOW_VOLATILITY,1,Accepted
2026-08-31 10:53:58,60,50,0,0,PUT,24006.6,LOW_VOLATILITY,1,Accepted
2026-08-31 10:53:59,60,50,0,0,PUT,24007.15,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:00,60,50,0,0,PUT,24006.55,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:01,60,50,0,0,PUT,24006.6,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:02,60,50,0,0,PUT,24006.9,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:03,60,50,0,0,PUT,24007.05,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:05,60,50,0,0,PUT,24007.8,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:06,60,50,0,0,PUT,24008.8,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:07,60,50,0,0,PUT,24008,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:08,60,50,0,0,PUT,24007.85,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:09,60,50,0,0,PUT,24008.4,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:11,60,50,0,0,PUT,24007.55,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:13,60,50,0,0,PUT,24008.2,LOW_VOLATILITY,1,Accepted
2026-08-31 10:54:14,60,50,0,0,PUT,24008.3,LOW_VOLATILITY,1,Accepted
